dataset,seed,instance_id,tw_proxy,backend,runtime_s,model_count,semantic_pass
sudoku_4x4_v1,5,sudoku_4x4_v1_5_000,48,enum_rewrite_frumpy,0.06325220805592835,14,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_000,48,comp_trendy_proxy,0.05266208399552852,14,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_001,15,enum_frumpy,0.05424120801035315,10,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_001,15,enum_rewrite_frumpy,0.07190291699953377,10,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_001,15,comp_trendy_proxy,0.06899037503171712,10,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_002,27,enum_frumpy,0.05367900000419468,8,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_002,27,enum_rewrite_frumpy,0.05303175002336502,8,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_002,27,comp_trendy_proxy,0.05238191701937467,8,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_000,13,enum_frumpy,0.057158209034241736,12,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_000,13,enum_rewrite_frumpy,0.05119487503543496,12,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_000,13,comp_trendy_proxy,0.06183391693048179,12,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_001,54,enum_frumpy,0.05246945901308209,8,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_001,54,enum_rewrite_frumpy,0.06589979201089591,8,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_001,54,comp_trendy_proxy,0.06287320808041841,8,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_002,13,enum_frumpy,0.05240570905152708,13,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_002,13,enum_rewrite_frumpy,0.0525399170583114,13,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_002,13,comp_trendy_proxy,0.05347687494941056,13,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_000,17,enum_frumpy,0.07215191598515958,15,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_000,17,enum_rewrite_frumpy,0.05467520793899894,15,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_000,17,comp_trendy_proxy,0.06347695901058614,15,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_001,35,enum_frumpy,0.060354209039360285,10,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_001,35,enum_rewrite_frumpy,0.05121216701809317,10,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_001,35,comp_trendy_proxy,0.0637002500006929,10,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_002,48,enum_frumpy,0.051530040916986763,15,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_002,48,enum_rewrite_frumpy,0.05588595801964402,15,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_002,48,comp_trendy_proxy,0.05937029200140387,15,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_000,48,enum_frumpy,0.08246404200326651,11,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_000,48,enum_rewrite_frumpy,0.05238954199012369,11,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_000,48,comp_trendy_proxy,0.0553307089721784,11,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_001,12,enum_frumpy,0.051905374974012375,16,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_001,12,enum_rewrite_frumpy,0.05703266593627632,16,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_001,12,comp_trendy_proxy,0.05644287506584078,16,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_002,18,enum_frumpy,0.06485712504945695,15,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_002,18,enum_rewrite_frumpy,0.05229670903645456,15,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_002,18,comp_trendy_proxy,0.05532654095441103,15,1
formula_eval_v1,3,formula_eval_v1_3_000,47,enum_frumpy,0.05200654093641788,10,1
formula_eval_v1,3,formula_eval_v1_3_000,47,enum_rewrite_frumpy,0.06967250001616776,10,1
formula_eval_v1,3,formula_eval_v1_3_000,47,comp_trendy_proxy,0.05984645802527666,10,1
formula_eval_v1,3,formula_eval_v1_3_001,55,enum_frumpy,0.0687262499704957,10,1
formula_eval_v1,3,formula_eval_v1_3_001,55,enum_rewrite_frumpy,0.05516808305401355,10,1
formula_eval_v1,3,formula_eval_v1_3_001,55,comp_trendy_proxy,0.05319941695779562,10,1
formula_eval_v1,3,formula_eval_v1_3_002,35,enum_frumpy,0.05292045802343637,8,1
formula_eval_v1,3,formula_eval_v1_3_002,35,enum_rewrite_frumpy,0.05580666696187109,8,1
formula_eval_v1,3,formula_eval_v1_3_002,35,comp_trendy_proxy,0.05430887499824166,8,1
formula_eval_v1,5,formula_eval_v1_5_000,15,enum_frumpy,0.052470582886599004,11,1
formula_eval_v1,5,formula_eval_v1_5_000,15,enum_rewrite_frumpy,0.0615807919530198,11,1
formula_eval_v1,5,formula_eval_v1_5_000,15,comp_trendy_proxy,0.06617987505160272,11,1
formula_eval_v1,5,formula_eval_v1_5_001,34,enum_frumpy,0.05225845903623849,5,1
formula_eval_v1,5,formula_eval_v1_5_001,34,enum_rewrite_frumpy,0.05238362494856119,5,1
formula_eval_v1,5,formula_eval_v1_5_001,34,comp_trendy_proxy,0.06241925002541393,5,1
formula_eval_v1,5,formula_eval_v1_5_002,39,enum_frumpy,0.0657677500275895,15,1
formula_eval_v1,5,formula_eval_v1_5_002,39,enum_rewrite_frumpy,0.051359583041630685,15,1
formula_eval_v1,5,formula_eval_v1_5_002,39,comp_trendy_proxy,0.05321979196742177,15,1
formula_eval_v1,7,formula_eval_v1_7_000,28,enum_frumpy,0.05275999999139458,10,1
formula_eval_v1,7,formula_eval_v1_7_000,28,enum_rewrite_frumpy,0.05202641698997468,10,1
formula_eval_v1,7,formula_eval_v1_7_000,28,comp_trendy_proxy,0.05908799997996539,10,1
formula_eval_v1,7,formula_eval_v1_7_001,51,enum_frumpy,0.060939667047932744,13,1
formula_eval_v1,7,formula_eval_v1_7_001,51,enum_rewrite_frumpy,0.08521933294832706,13,1
formula_eval_v1,7,formula_eval_v1_7_001,51,comp_trendy_proxy,0.05608229199424386,13,1
formula_eval_v1,7,formula_eval_v1_7_002,19,enum_frumpy,0.06597258301917464,12,1
formula_eval_v1,7,formula_eval_v1_7_002,19,enum_rewrite_frumpy,0.058446917100809515,12,1
formula_eval_v1,7,formula_eval_v1_7_002,19,comp_trendy_proxy,0.052662583999335766,12,1
formula_eval_v1,9,formula_eval_v1_9_000,15,enum_frumpy,0.0550620419671759,10,1
formula_eval_v1,9,formula_eval_v1_9_000,15,enum_rewrite_frumpy,0.05510637490078807,10,1
formula_eval_v1,9,formula_eval_v1_9_000,15,comp_trendy_proxy,0.0627087919274345,10,1
formula_eval_v1,9,formula_eval_v1_9_001,40,enum_frumpy,0.05327295802999288,13,1
formula_eval_v1,9,formula_eval_v1_9_001,40,enum_rewrite_frumpy,0.052722749998793006,13,1
formula_eval_v1,9,formula_eval_v1_9_001,40,comp_trendy_proxy,0.05096104205586016,13,1
formula_eval_v1,9,formula_eval_v1_9_002,18,enum_frumpy,0.0662757089594379,10,1
formula_eval_v1,9,formula_eval_v1_9_002,18,enum_rewrite_frumpy,0.05515875096898526,10,1
formula_eval_v1,9,formula_eval_v1_9_002,18,comp_trendy_proxy,0.05453145899809897,10,1
formula_eval_v1,11,formula_eval_v1_11_000,45,enum_frumpy,0.08325629099272192,10,1
formula_eval_v1,11,formula_eval_v1_11_000,45,enum_rewrite_frumpy,0.053338457946665585,10,1
formula_eval_v1,11,formula_eval_v1_11_000,45,comp_trendy_proxy,0.06093949999194592,10,1
formula_eval_v1,11,formula_eval_v1_11_001,23,enum_frumpy,0.05302129196934402,11,1
formula_eval_v1,11,formula_eval_v1_11_001,23,enum_rewrite_frumpy,0.053355583106167614,11,1
formula_eval_v1,11,formula_eval_v1_11_001,23,comp_trendy_proxy,0.08859820803627372,11,1
formula_eval_v1,11,formula_eval_v1_11_002,18,enum_frumpy,0.06613575003575534,12,1
formula_eval_v1,11,formula_eval_v1_11_002,18,enum_rewrite_frumpy,0.05648558307439089,12,1
formula_eval_v1,11,formula_eval_v1_11_002,18,comp_trendy_proxy,0.0692858750699088,12,1
ordering_v1,3,ordering_v1_3_000,40,enum_frumpy,0.057029000017791986,11,1
ordering_v1,3,ordering_v1_3_000,40,enum_rewrite_frumpy,0.06119762500748038,11,1
ordering_v1,3,ordering_v1_3_000,40,comp_trendy_proxy,0.053734250948764384,11,1
ordering_v1,3,ordering_v1_3_001,54,enum_frumpy,0.0664887500461191,9,1
ordering_v1,3,ordering_v1_3_001,54,enum_rewrite_frumpy,0.05272304208483547,9,1
ordering_v1,3,ordering_v1_3_001,54,comp_trendy_proxy,0.053247708012349904,9,1
ordering_v1,3,ordering_v1_3_002,34,enum_frumpy,0.0681227499153465,9,1
ordering_v1,3,ordering_v1_3_002,34,enum_rewrite_frumpy,0.1642053748946637,9,1
ordering_v1,3,ordering_v1_3_002,34,comp_trendy_proxy,0.05361800000537187,9,1
ordering_v1,5,ordering_v1_5_000,35,enum_frumpy,0.051278791041113436,9,1
ordering_v1,5,ordering_v1_5_000,35,enum_rewrite_frumpy,0.060253749950788915,9,1
ordering_v1,5,ordering_v1_5_000,35,comp_trendy_proxy,0.053226875024847686,9,1
ordering_v1,5,ordering_v1_5_001,47,enum_frumpy,0.05531508394051343,10,1
ordering_v1,5,ordering_v1_5_001,47,enum_rewrite_frumpy,0.06932787492405623,10,1
ordering_v1,5,ordering_v1_5_001,47,comp_trendy_proxy,0.06185279099736363,10,1
ordering_v1,5,ordering_v1_5_002,44,enum_frumpy,0.054302292061038315,14,1
ordering_v1,5,ordering_v1_5_002,44,enum_rewrite_frumpy,0.06331987504381686,14,1
ordering_v1,5,ordering_v1_5_002,44,comp_trendy_proxy,0.0527134999865666,14,1
ordering_v1,7,ordering_v1_7_000,21,enum_frumpy,0.06623095902614295,12,1
ordering_v1,7,ordering_v1_7_000,21,enum_rewrite_frumpy,0.06669058301486075,12,1
ordering_v1,7,ordering_v1_7_000,21,comp_trendy_proxy,0.0654842909425497,12,1
ordering_v1,7,ordering_v1_7_001,30,enum_frumpy,0.052760624908842146,8,1
ordering_v1,7,ordering_v1_7_001,30,enum_rewrite_frumpy,0.05273408303037286,8,1
ordering_v1,7,ordering_v1_7_001,30,comp_trendy_proxy,0.053162583033554256,8,1
ordering_v1,7,ordering_v1_7_002,40,enum_frumpy,0.04366512503474951,19,1
ordering_v1,7,ordering_v1_7_002,40,enum_rewrite_frumpy,0.05664299998898059,19,1
ordering_v1,7,ordering_v1_7_002,40,comp_trendy_proxy,0.042980624944902956,19,1
ordering_v1,9,ordering_v1_9_000,24,enum_frumpy,0.06075066700577736,17,1
ordering_v1,9,ordering_v1_9_000,24,enum_rewrite_frumpy,0.0577983750263229,17,1
ordering_v1,9,ordering_v1_9_000,24,comp_trendy_proxy,0.05333054205402732,17,1
ordering_v1,9,ordering_v1_9_001,50,enum_frumpy,0.057767124962992966,11,1
ordering_v1,9,ordering_v1_9_001,50,enum_rewrite_frumpy,0.05173283303156495,11,1
